Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Nigeria,NGA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.244614111,3.079267318,12.21038628,4.428334675,6.265273369,3.531837107,3.170928103,3.677206982,3.832588985,5.067183214,5.028537793,2.397348416,1.378221466,3.814492077,3.537572681,0.081979578,-4.018925343,-1.615855373,-0.406836852,-0.010004759,-3.864201003,1.497160848,1.113267394,0.724295704,1.29437207
Ghana,GHA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.127061176,1.266924337,1.665263905,2.397606595,2.839829959,3.158610995,3.669508041,1.691717775,6.414669925,2.260688935,5.306175082,11.33704178,6.679747406,4.757963385,0.452244094,-0.20832582,1.047044067,5.780945858,4.018953383,4.390631335,-1.468308017,3.0380027,1.830512477,1.190223042,3.721742988
Kenya,KEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.386106933,0.575576747,-2.56736281,-0.194798007,1.891135133,2.702441032,3.277154575,3.669786662,-2.758864564,0.232598395,4.968112999,2.26952219,1.876707539,1.263311291,2.592183533,2.655893528,1.937947956,1.604751834,3.524047815,3.070047694,-2.210321712,5.565136516,2.862812765,3.483358455,2.470855181
Bangladesh,BGD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.38671359,3.340278822,2.242860585,3.226324776,3.81635685,5.201313687,5.440428815,5.913202756,4.960571702,4.070764216,4.650462974,5.501503282,5.505480202,5.023418397,5.099054602,5.604495397,6.1618156,5.68710307,6.441974947,6.972643998,2.586478166,6.07069417,6.008474629,4.490704094,2.96499838
Philippines,PHL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.928279712,0.800810378,1.634409567,3.02447665,4.518295358,3.009220967,3.559722383,4.687504953,2.516571286,-0.36295529,5.158694303,1.837605141,4.84076534,4.762666338,4.615140683,4.787250557,5.721214859,5.562230207,5.034290671,4.835775467,-10.54886151,4.761639163,6.765954106,4.667697363,4.823012407

